CustomerID,CustomerName,Email,Gender,Age,SignupDate,PrimaryCategory
CUST001,Customer_1,customer1@mail.com,Female,53,2022-01-01,Fashion
CUST002,Customer_2,customer2@mail.com,Female,37,2022-01-02,Fashion
CUST003,Customer_3,customer3@mail.com,Male,54,2022-01-03,Electronics
CUST004,Customer_4,customer4@mail.com,Female,39,2022-01-04,Footwear
CUST005,Customer_5,customer5@mail.com,Male,24,2022-01-05,Electronics
CUST006,Customer_6,customer6@mail.com,Male,40,2022-01-06,Electronics
CUST007,Customer_7,customer7@mail.com,Male,58,2022-01-07,Footwear
CUST008,Customer_8,customer8@mail.com,Male,57,2022-01-08,Electronics
CUST009,Customer_9,customer9@mail.com,Male,46,2022-01-09,Footwear
CUST010,Customer_10,customer10@mail.com,Male,33,2022-01-10,Electronics
CUST011,Customer_11,customer11@mail.com,Male,55,2022-01-11,Footwear
CUST012,Customer_12,customer12@mail.com,Female,45,2022-01-12,Footwear
CUST013,Customer_13,customer13@mail.com,Male,55,2022-01-13,Footwear
CUST014,Customer_14,customer14@mail.com,Female,48,2022-01-14,Fashion
CUST015,Customer_15,customer15@mail.com,Female,31,2022-01-15,Electronics
CUST016,Customer_16,customer16@mail.com,Male,50,2022-01-16,Fashion
CUST017,Customer_17,customer17@mail.com,Male,26,2022-01-17,Electronics
CUST018,Customer_18,customer18@mail.com,Female,44,2022-01-18,Electronics
CUST019,Customer_19,customer19@mail.com,Female,41,2022-01-19,Electronics
CUST020,Customer_20,customer20@mail.com,Female,30,2022-01-20,Fashion
CUST021,Customer_21,customer21@mail.com,Female,43,2022-01-21,Electronics
CUST022,Customer_22,customer22@mail.com,Male,46,2022-01-22,Fashion
CUST023,Customer_23,customer23@mail.com,Male,45,2022-01-23,Footwear
CUST024,Customer_24,customer24@mail.com,Male,45,2022-01-24,Electronics
CUST025,Customer_25,customer25@mail.com,Female,25,2022-01-25,Electronics
CUST026,Customer_26,customer26@mail.com,Male,40,2022-01-26,Footwear
CUST027,Customer_27,customer27@mail.com,Female,46,2022-01-27,Footwear
CUST028,Customer_28,customer28@mail.com,Male,22,2022-01-28,Electronics
CUST029,Customer_29,customer29@mail.com,Female,59,2022-01-29,Footwear
CUST030,Customer_30,customer30@mail.com,Male,24,2022-01-30,Fashion
CUST031,Customer_31,customer31@mail.com,Male,59,2022-01-31,Fashion
CUST032,Customer_32,customer32@mail.com,Female,53,2022-02-01,Electronics
CUST033,Customer_33,customer33@mail.com,Female,58,2022-02-02,Fashion
CUST034,Customer_34,customer34@mail.com,Female,44,2022-02-03,Fashion
CUST035,Customer_35,customer35@mail.com,Female,19,2022-02-04,Electronics
CUST036,Customer_36,customer36@mail.com,Female,42,2022-02-05,Footwear
CUST037,Customer_37,customer37@mail.com,Male,26,2022-02-06,Electronics
CUST038,Customer_38,customer38@mail.com,Female,44,2022-02-07,Fashion
CUST039,Customer_39,customer39@mail.com,Male,18,2022-02-08,Electronics
CUST040,Customer_40,customer40@mail.com,Male,40,2022-02-09,Electronics
CUST041,Customer_41,customer41@mail.com,Male,27,2022-02-10,Fashion
CUST042,Customer_42,customer42@mail.com,Male,59,2022-02-11,Fashion
CUST043,Customer_43,customer43@mail.com,Male,42,2022-02-12,Electronics
CUST044,Customer_44,customer44@mail.com,Female,20,2022-02-13,Fashion
CUST045,Customer_45,customer45@mail.com,Female,23,2022-02-14,Fashion
CUST046,Customer_46,customer46@mail.com,Male,23,2022-02-15,Fashion
CUST047,Customer_47,customer47@mail.com,Male,19,2022-02-16,Fashion
CUST048,Customer_48,customer48@mail.com,Female,35,2022-02-17,Fashion
CUST049,Customer_49,customer49@mail.com,Female,40,2022-02-18,Fashion
CUST050,Customer_50,customer50@mail.com,Male,19,2022-02-19,Footwear
CUST051,Customer_51,customer51@mail.com,Female,29,2022-02-20,Electronics
CUST052,Customer_52,customer52@mail.com,Female,39,2022-02-21,Fashion
CUST053,Customer_53,customer53@mail.com,Female,54,2022-02-22,Electronics
CUST054,Customer_54,customer54@mail.com,Male,37,2022-02-23,Footwear
CUST055,Customer_55,customer55@mail.com,Female,56,2022-02-24,Fashion
CUST056,Customer_56,customer56@mail.com,Male,41,2022-02-25,Electronics
CUST057,Customer_57,customer57@mail.com,Male,37,2022-02-26,Fashion
CUST058,Customer_58,customer58@mail.com,Male,18,2022-02-27,Fashion
CUST059,Customer_59,customer59@mail.com,Male,18,2022-02-28,Fashion
